,summary_text
442,<sos> 주말 사람 시간 합 아침 케익 커피 잔 반 이상 빈자리 자리 빈자리 이해 참고 하세 <end>
443,<sos> 조용 인테리어 차분 느낌 <end>
444,<sos> 조용 인테리어 차분 느낌 <end>
445,<sos> 조용 인테리어 차분 느낌 <end>
446,<sos> 가게 인테리어 독특 연남동 골목 위치 조용 가게 <end>
447,<sos> 가게 인테리어 독특 연남동 골목 위치 조용 가게 <end>
448,<sos> 가게 인테리어 독특 연남동 골목 위치 조용 가게 <end>
449,<sos> 나프 레 소 훌륭 대안 시스템 비슷 성비 비슷 커피맛 보통 줄 안 대만족 <end>
450,<sos> 나프 레 소 훌륭 대안 시스템 비슷 성비 비슷 커피맛 보통 줄 안 대만족 <end>
451,<sos> 나프 레 소 훌륭 대안 시스템 비슷 성비 비슷 커피맛 보통 줄 안 대만족 <end>
452,<sos> 왕십리 제일 맘 카페 빈지 분위기 구석구석 앤 소품 찻잔 주전자 차도 사장님 감각 고양이 완벽 <end>
453,<sos> 왕십리 제일 맘 카페 빈지 분위기 구석구석 앤 소품 찻잔 주전자 차도 사장님 감각 고양이 완벽 <end>
454,<sos> 왕십리 제일 맘 카페 빈지 분위기 구석구석 앤 소품 찻잔 주전자 차도 사장님 감각 고양이 완벽 <end>
455,<sos> 엔 분위기 매력적 곳 여자 분 디저트 음료 커피 직원 분 친절 가격 조금 <end>
456,<sos> 엔 분위기 매력적 곳 여자 분 디저트 음료 커피 직원 분 친절 가격 조금 <end>
457,<sos> 엔 분위기 매력적 곳 여자 분 디저트 음료 커피 직원 분 친절 가격 조금 <end>
458,<sos> 하계동 위치 커피 동네 특성 대화 시기 곳 <end>
459,<sos> 하계동 위치 커피 동네 특성 대화 시기 곳 <end>
460,<sos> 하계동 위치 커피 동네 특성 대화 시기 곳 <end>
461,<sos> 테이크 아웃 전문점 자리 외 테라스 자리 성비 <end>
462,<sos> 테이크 아웃 전문점 자리 외 테라스 자리 성비 <end>
463,<sos> 테이크 아웃 전문점 자리 외 테라스 자리 성비 <end>
464,<sos>  <end>
465,<sos>  <end>
466,<sos>  <end>
467,<sos> 음료 할인 커피 저렴 <end>
468,<sos> 음료 할인 커피 저렴 <end>
469,<sos> 음료 할인 커피 저렴 <end>
470,<sos> 암사동 선사 유적지 주차장 카페 강동구 취지 운영 가격 저렴 <end>
471,<sos> 암사동 선사 유적지 주차장 카페 강동구 취지 운영 가격 저렴 <end>
472,<sos> 사장님 성실 음료 디저트 곳 원래 잼 토스트 유명 최근 수급 문제 사진 마카롱 <end>
473,<sos> 사장님 성실 음료 디저트 곳 원래 잼 토스트 유명 최근 수급 문제 사진 마카롱 <end>
474,<sos> 사장님 성실 음료 디저트 곳 원래 잼 토스트 유명 최근 수급 문제 사진 마카롱 <end>
475,<sos> 카페 자리 지하 자리 카페 <end>
476,<sos> 카페 자리 지하 자리 카페 <end>
477,<sos> 카페 자리 지하 자리 카페 <end>
478,<sos> 카페 카페 테라스 서울 도심 남산 타워 속 느낌 커피 후 소나기 직원 비 때 우산 다시 테라스 안내 감동 친절 마음 따뜻 갑 <end>
479,<sos> 카페 카페 테라스 서울 도심 남산 타워 속 느낌 커피 후 소나기 직원 비 때 우산 다시 테라스 안내 감동 친절 마음 따뜻 갑 <end>
480,<sos> 카페 카페 테라스 서울 도심 남산 타워 속 느낌 커피 후 소나기 직원 비 때 우산 다시 테라스 안내 감동 친절 마음 따뜻 갑 <end>
481,<sos> 강아지 마스코트 쉬 조용조 카페 <end>
482,<sos> 강아지 마스코트 쉬 조용조 카페 <end>
483,<sos> 강아지 마스코트 쉬 조용조 카페 <end>
484,<sos> 가게 위 간판 바닥 표시 음료 매장 인테리어 <end>
485,<sos> 가게 위 간판 바닥 표시 음료 매장 인테리어 <end>
486,<sos> 가게 위 간판 바닥 표시 음료 매장 인테리어 <end>
487,<sos> 동네 카페 동네 주민 분위기 음료 빵 무난 맛 개인적 샌드위치 식사 빵 <end>
488,<sos> 동네 카페 동네 주민 분위기 음료 빵 무난 맛 개인적 샌드위치 식사 빵 <end>
489,<sos> 동네 카페 동네 주민 분위기 음료 빵 무난 맛 개인적 샌드위치 식사 빵 <end>
490,<sos> 분위기 비 카페 무화과 타르트 단호박 타르트 고민 맛 <end>
491,<sos> 분위기 비 카페 무화과 타르트 단호박 타르트 고민 맛 <end>
492,<sos> 분위기 비 카페 무화과 타르트 단호박 타르트 고민 맛 <end>
493,<sos> 카페 성비 아이스크림 디저트 맛 <end>
494,<sos> 카페 성비 아이스크림 디저트 맛 <end>
495,<sos> 카페 성비 아이스크림 디저트 맛 <end>
496,<sos> 크리 미 커피 메뉴 짭짤 곳 스타 분위기 <end>
497,<sos> 크리 미 커피 메뉴 짭짤 곳 스타 분위기 <end>
498,<sos> 크리 미 커피 메뉴 짭짤 곳 스타 분위기 <end>
499,<sos> 매장 사람 여유 쿠키 포크 거래 스푼 <end>
500,<sos> 매장 사람 여유 쿠키 포크 거래 스푼 <end>
501,<sos> 매장 사람 여유 쿠키 포크 거래 스푼 <end>
502,<sos> 생각 주문 이상 타르트 마카롱 맛 집 <end>
503,<sos> 생각 주문 이상 타르트 마카롱 맛 집 <end>
504,<sos> 생각 주문 이상 타르트 마카롱 맛 집 <end>
505,<sos> 조용 곳 위치 평일 낮 사람 조용 깔끔 찰떡 와플 빵 떡 와플 모양 위 아이스크림 견과 꿀 달콤 운영 시간 오전 저녁 일요일 날 카페 문 시간 내서 오기 카페 <end>
506,<sos> 조용 곳 위치 평일 낮 사람 조용 깔끔 찰떡 와플 빵 떡 와플 모양 위 아이스크림 견과 꿀 달콤 운영 시간 오전 저녁 일요일 날 카페 문 시간 내서 오기 카페 <end>
507,<sos> 조용 곳 위치 평일 낮 사람 조용 깔끔 찰떡 와플 빵 떡 와플 모양 위 아이스크림 견과 꿀 달콤 운영 시간 오전 저녁 일요일 날 카페 문 시간 내서 오기 카페 <end>
508,<sos> 커피 맛 경성 시대 재현 카페 하다 <end>
509,<sos> 커피 맛 경성 시대 재현 카페 하다 <end>
510,<sos> 커피 맛 경성 시대 재현 카페 하다 <end>
511,<sos> 마포 역 근처 위치 테이크 아웃 전용 카페 점심시간 사람 서서 정도 인기 곳 아메리카 노 종류 그중 산미 커피 가격 대비 맛 <end>
512,<sos> 마포 역 근처 위치 테이크 아웃 전용 카페 점심시간 사람 서서 정도 인기 곳 아메리카 노 종류 그중 산미 커피 가격 대비 맛 <end>
513,<sos> 마포 역 근처 위치 테이크 아웃 전용 카페 점심시간 사람 서서 정도 인기 곳 아메리카 노 종류 그중 산미 커피 가격 대비 맛 <end>
514,<sos> 분위기 맛 집 음료 디저트 맛 재즈 음악 저번 때 내부 테이블 위치 자리 도 로 크림 메뉴 추가 <end>
515,<sos> 분위기 맛 집 음료 디저트 맛 재즈 음악 저번 때 내부 테이블 위치 자리 도 로 크림 메뉴 추가 <end>
516,<sos> 분위기 맛 집 음료 디저트 맛 재즈 음악 저번 때 내부 테이블 위치 자리 도 로 크림 메뉴 추가 <end>
517,<sos> 조용 한적 동네 편안 공간 사장님 친절 <end>
518,<sos> 조용 한적 동네 편안 공간 사장님 친절 <end>
519,<sos> 조용 한적 동네 편안 공간 사장님 친절 <end>
520,<sos> 마실 가도 차 오시 분 아파트 정문 상가 주차장 진입 호출 <end>
521,<sos> 마실 가도 차 오시 분 아파트 정문 상가 주차장 진입 호출 <end>
522,<sos> 마실 가도 차 오시 분 아파트 정문 상가 주차장 진입 호출 <end>
523,<sos> 카페 식사 가능 곳 메뉴 풍미 다채 맛과 재료 식사 <end>
524,<sos> 카페 식사 가능 곳 메뉴 풍미 다채 맛과 재료 식사 <end>
525,<sos> 카페 식사 가능 곳 메뉴 풍미 다채 맛과 재료 식사 <end>
526,<sos> 코 아이스크림 고 디 바 <end>
527,<sos> 코 아이스크림 고 디 바 <end>
528,<sos> 코 아이스크림 고 디 바 <end>
529,<sos> 카페 자리 걱정 곳 커피 테라스 수다 떨기 이제 날씨 <end>
530,<sos> 카페 자리 걱정 곳 커피 테라스 수다 떨기 이제 날씨 <end>
531,<sos> 카페 자리 걱정 곳 커피 테라스 수다 떨기 이제 날씨 <end>
532,<sos> 건물 전체 카페 쾌적 대왕 마카롱 맛 <end>
533,<sos> 건물 전체 카페 쾌적 대왕 마카롱 맛 <end>
534,<sos> 건물 전체 카페 쾌적 대왕 마카롱 맛 <end>
535,<sos> 생크림 커피 <end>
536,<sos> 생크림 커피 <end>
537,<sos> 생크림 커피 <end>
538,<sos> 단언 청담 언덕배기 근처 최악 선택 냉동 재료 소 음식 물론 와인 가격 뻥튀기 초반 청담 수준 리저브 <end>
539,<sos> 단언 청담 언덕배기 근처 최악 선택 냉동 재료 소 음식 물론 와인 가격 뻥튀기 초반 청담 수준 리저브 <end>
540,<sos> 단언 청담 언덕배기 근처 최악 선택 냉동 재료 소 음식 물론 와인 가격 뻥튀기 초반 청담 수준 리저브 <end>
541,<sos> 슈페너 테이크 아웃 주문 놀라움 금 내고 테이크 아웃 잔 반 컵 양 맛 맛 핵 노 맛 거주 주고 맥 심 커피 씬 <end>
542,<sos> 슈페너 테이크 아웃 주문 놀라움 금 내고 테이크 아웃 잔 반 컵 양 맛 맛 핵 노 맛 거주 주고 맥 심 커피 씬 <end>
543,<sos> 슈페너 테이크 아웃 주문 놀라움 금 내고 테이크 아웃 잔 반 컵 양 맛 맛 핵 노 맛 거주 주고 맥 심 커피 씬 <end>
544,<sos> 간단 끼니 해결 때 제격 가격 저렴 <end>
545,<sos> 간단 끼니 해결 때 제격 가격 저렴 <end>
546,<sos> 간단 끼니 해결 때 제격 가격 저렴 <end>
547,<sos> 커피 맛 기본 직원 주문 실수 대기 녹 팥빙수 직원 팥빙수 홀 내고 조금 최고 상태 녹 빙수 마인드 짐작 <end>
548,<sos> 커피 맛 기본 직원 주문 실수 대기 녹 팥빙수 직원 팥빙수 홀 내고 조금 최고 상태 녹 빙수 마인드 짐작 <end>
549,<sos> 커피 맛 기본 직원 주문 실수 대기 녹 팥빙수 직원 팥빙수 홀 내고 조금 최고 상태 녹 빙수 마인드 짐작 <end>
550,<sos> 저녁 전체적 조용 분위기 아메리카 노 대화 나누기 곳 <end>
551,<sos> 저녁 전체적 조용 분위기 아메리카 노 대화 나누기 곳 <end>
552,<sos> 저녁 전체적 조용 분위기 아메리카 노 대화 나누기 곳 <end>
553,<sos> 유 튜브 고요 비 카페 동네 카페 디저트 가격 맛 훌륭 유명 메뉴인 바스크 치즈 케이크 포장 케이크 상자 귀 고요 카페 디저트 점 주의 재 방문 의사 <end>
554,<sos> 유 튜브 고요 비 카페 동네 카페 디저트 가격 맛 훌륭 유명 메뉴인 바스크 치즈 케이크 포장 케이크 상자 귀 고요 카페 디저트 점 주의 재 방문 의사 <end>
555,<sos> 유 튜브 고요 비 카페 동네 카페 디저트 가격 맛 훌륭 유명 메뉴인 바스크 치즈 케이크 포장 케이크 상자 귀 고요 카페 디저트 점 주의 재 방문 의사 <end>
556,<sos> 성 카페 깔끔 맛 맛 잇 진 <end>
557,<sos> 성 카페 깔끔 맛 맛 잇 진 <end>
558,<sos> 성 카페 깔끔 맛 맛 잇 진 <end>
559,<sos> 테이크 아웃 커피 길 함 커피 평가 우위 레벨 급 <end>
560,<sos> 테이크 아웃 커피 길 함 커피 평가 우위 레벨 급 <end>
561,<sos> 테이크 아웃 커피 길 함 커피 평가 우위 레벨 급 <end>
562,<sos> 깔끔 조용 테이블 자리 <end>
563,<sos> 깔끔 조용 테이블 자리 <end>
564,<sos> 깔끔 조용 테이블 자리 <end>
565,<sos> 명성 초심 마감 짐 직원 빵 커피 생각 집 <end>
566,<sos> 명성 초심 마감 짐 직원 빵 커피 생각 집 <end>
567,<sos> 명성 초심 마감 짐 직원 빵 커피 생각 집 <end>
568,<sos> 제일 빵 맛 곳 바게트 커피 서래 마을 프랑스 사람 <end>
569,<sos> 제일 빵 맛 곳 바게트 커피 서래 마을 프랑스 사람 <end>
570,<sos> 제일 빵 맛 곳 바게트 커피 서래 마을 프랑스 사람 <end>
571,<sos> 콘 원래 샌드위치 보통 커피 <end>
572,<sos> 콘 원래 샌드위치 보통 커피 <end>
573,<sos> 콘 원래 샌드위치 보통 커피 <end>
574,<sos> 연 남동 유럽식 빵 간판 빵 유럽식 치즈 빵 이국적 곳 <end>
575,<sos> 연 남동 유럽식 빵 간판 빵 유럽식 치즈 빵 이국적 곳 <end>
576,<sos> 연 남동 유럽식 빵 간판 빵 유럽식 치즈 빵 이국적 곳 <end>
577,<sos> 캠핑 느낌 카페 캠핑 자도 때 공간 사람 때 <end>
578,<sos> 캠핑 느낌 카페 캠핑 자도 때 공간 사람 때 <end>
579,<sos> 캠핑 느낌 카페 캠핑 자도 때 공간 사람 때 <end>
580,<sos> 초콜렛 분 진짜 추천 초콜렛 성비 <end>
581,<sos> 초콜렛 분 진짜 추천 초콜렛 성비 <end>
582,<sos> 초콜렛 분 진짜 추천 초콜렛 성비 <end>
583,<sos> 근처 볼일 시간 방문 가격 합리적 친절 <end>
584,<sos> 근처 볼일 시간 방문 가격 합리적 친절 <end>
585,<sos> 근처 볼일 시간 방문 가격 합리적 친절 <end>
586,<sos> 깔끔 분위기 곳 저녁 방문 라 샷 음료 라 떼 우유 폼 곳 사실 라 떼 정도 스타일 기준 생각 주변 가게 가게 혼자 힙 느낌 카페 테마 궁금증 곳 사장님 목적 아쉬움 <end>
587,<sos> 깔끔 분위기 곳 저녁 방문 라 샷 음료 라 떼 우유 폼 곳 사실 라 떼 정도 스타일 기준 생각 주변 가게 가게 혼자 힙 느낌 카페 테마 궁금증 곳 사장님 목적 아쉬움 <end>
588,<sos> 깔끔 분위기 곳 저녁 방문 라 샷 음료 라 떼 우유 폼 곳 사실 라 떼 정도 스타일 기준 생각 주변 가게 가게 혼자 힙 느낌 카페 테마 궁금증 곳 사장님 목적 아쉬움 <end>
589,<sos> 차도 가게 <end>
590,<sos> 차도 가게 <end>
591,<sos> 차도 가게 <end>
592,<sos> 단편 영화관 카페 간식 비 건 메뉴 분위기 <end>
593,<sos> 단편 영화관 카페 간식 비 건 메뉴 분위기 <end>
594,<sos> 단편 영화관 카페 간식 비 건 메뉴 분위기 <end>
595,<sos> 우선 쇼케이스 케이크 싸구려 케이크 당황 색깔 초의 미학 대표 메뉴 잔디 느낌 납 테라스 카페 옆 차 정도 주차 가능 게 제가 유일 장점 <end>
596,<sos> 우선 쇼케이스 케이크 싸구려 케이크 당황 색깔 초의 미학 대표 메뉴 잔디 느낌 납 테라스 카페 옆 차 정도 주차 가능 게 제가 유일 장점 <end>
597,<sos> 우선 쇼케이스 케이크 싸구려 케이크 당황 색깔 초의 미학 대표 메뉴 잔디 느낌 납 테라스 카페 옆 차 정도 주차 가능 게 제가 유일 장점 <end>
598,<sos> 메뉴 다양 베이커리 사장님 준비 시도 곳 소형 견 동반 손님 가게 전반적 깔끔 유지 곳 크림 라 떼 류 토스트 오픈 동네 카페 <end>
599,<sos> 메뉴 다양 베이커리 사장님 준비 시도 곳 소형 견 동반 손님 가게 전반적 깔끔 유지 곳 크림 라 떼 류 토스트 오픈 동네 카페 <end>
600,<sos> 메뉴 다양 베이커리 사장님 준비 시도 곳 소형 견 동반 손님 가게 전반적 깔끔 유지 곳 크림 라 떼 류 토스트 오픈 동네 카페 <end>
601,<sos> 과자 산책 가게 이름 곳 한쪽 빵 냄새 가게 차분 따뜻 느낌 음료 디저트 모두 준수 재 방문 의사 있음 <end>
602,<sos> 과자 산책 가게 이름 곳 한쪽 빵 냄새 가게 차분 따뜻 느낌 음료 디저트 모두 준수 재 방문 의사 있음 <end>
603,<sos> 과자 산책 가게 이름 곳 한쪽 빵 냄새 가게 차분 따뜻 느낌 음료 디저트 모두 준수 재 방문 의사 있음 <end>
604,<sos> 베이커리 샌드위치 치킨 신선 꽈배기 쿠키 홈 메이드 건강 정성 베이커리 사장님 항 친절 <end>
605,<sos> 베이커리 샌드위치 치킨 신선 꽈배기 쿠키 홈 메이드 건강 정성 베이커리 사장님 항 친절 <end>
606,<sos> 베이커리 샌드위치 치킨 신선 꽈배기 쿠키 홈 메이드 건강 정성 베이커리 사장님 항 친절 <end>
607,<sos> 응봉동 카페 가게 사진 생각 커피 실내 의자 불편 야외 좌석 그늘 <end>
608,<sos> 응봉동 카페 가게 사진 생각 커피 실내 의자 불편 야외 좌석 그늘 <end>
609,<sos> 응봉동 카페 가게 사진 생각 커피 실내 의자 불편 야외 좌석 그늘 <end>
610,<sos> 수제 라미 수 기대 맛 가격 양이 대신 녹 화장실 이용 <end>
611,<sos> 수제 라미 수 기대 맛 가격 양이 대신 녹 화장실 이용 <end>
612,<sos> 수제 라미 수 기대 맛 가격 양이 대신 녹 화장실 이용 <end>
613,<sos> 깔끔 커피 시간 빵 일반적 몽블랑 고소 촌 카페 가양 카페 가양 간식 등 간식 <end>
614,<sos> 깔끔 커피 시간 빵 일반적 몽블랑 고소 촌 카페 가양 카페 가양 간식 등 간식 <end>
615,<sos> 깔끔 커피 시간 빵 일반적 몽블랑 고소 촌 카페 가양 카페 가양 간식 등 간식 <end>
616,<sos> 가격 커피 맛 재 방문 의사 있음 빵 다음 도전 <end>
617,<sos> 가격 커피 맛 재 방문 의사 있음 빵 다음 도전 <end>
618,<sos> 가격 커피 맛 재 방문 의사 있음 빵 다음 도전 <end>
619,<sos> 아파트 상가 가게 조금 작고 케익 <end>
620,<sos> 아파트 상가 가게 조금 작고 케익 <end>
621,<sos> 아파트 상가 가게 조금 작고 케익 <end>
622,<sos> 쿠키 안 마 멜로 우 껌 <end>
623,<sos> 쿠키 안 마 멜로 우 껌 <end>
624,<sos> 쿠키 안 마 멜로 우 껌 <end>
625,<sos> 캔 포장 때 안 편리 해 딸기 우유 <end>
626,<sos> 캔 포장 때 안 편리 해 딸기 우유 <end>
627,<sos> 캔 포장 때 안 편리 해 딸기 우유 <end>
628,<sos> 레 사랑 구 움 과자 사랑 레 낭시 공간 사장님 친절 <end>
629,<sos> 레 사랑 구 움 과자 사랑 레 낭시 공간 사장님 친절 <end>
630,<sos> 레 사랑 구 움 과자 사랑 레 낭시 공간 사장님 친절 <end>
631,<sos> 곳 처음 편의점 코딱지 컵 가격 생각 이득 선택 폭 껍데기 부분 눅눅 생크림 동물성 느끼 파리 바게트 케이크 생크림 배 음 내가 때 딸기 딸기 맛 양도 둘 누 라 <end>
632,<sos> 곳 처음 편의점 코딱지 컵 가격 생각 이득 선택 폭 껍데기 부분 눅눅 생크림 동물성 느끼 파리 바게트 케이크 생크림 배 음 내가 때 딸기 딸기 맛 양도 둘 누 라 <end>
633,<sos> 곳 처음 편의점 코딱지 컵 가격 생각 이득 선택 폭 껍데기 부분 눅눅 생크림 동물성 느끼 파리 바게트 케이크 생크림 배 음 내가 때 딸기 딸기 맛 양도 둘 누 라 <end>
634,<sos> 건강 음식 센스 공간 속 기쁨 <end>
635,<sos> 건강 음식 센스 공간 속 기쁨 <end>
636,<sos> 건강 음식 센스 공간 속 기쁨 <end>
637,<sos> 북한산 등반 후 집 무난 커피 맛 깔끔 실내 <end>
638,<sos> 북한산 등반 후 집 무난 커피 맛 깔끔 실내 <end>
639,<sos> 북한산 등반 후 집 무난 커피 맛 깔끔 실내 <end>
640,<sos> 고소한 냄새 진동 곡물 카페 커피 맛 곡물 <end>
641,<sos> 고소한 냄새 진동 곡물 카페 커피 맛 곡물 <end>
642,<sos> 고소한 냄새 진동 곡물 카페 커피 맛 곡물 <end>
643,<sos> 커피 가격 저렴 공부 까페 사람 <end>
644,<sos> 커피 가격 저렴 공부 까페 사람 <end>
645,<sos> 커피 가격 저렴 공부 까페 사람 <end>
646,<sos> 분위기 인테리어 훌륭 카페 가격대 조금 <end>
647,<sos> 분위기 인테리어 훌륭 카페 가격대 조금 <end>
648,<sos> 분위기 인테리어 훌륭 카페 가격대 조금 <end>
649,<sos> 야경 라이브 음악 분위기 깡패 호텔 가격 동 세트 고급 양 안주 맛 있음 치즈 과일 견과 무료 시간 이후 추가 주차 부담 <end>
650,<sos> 야경 라이브 음악 분위기 깡패 호텔 가격 동 세트 고급 양 안주 맛 있음 치즈 과일 견과 무료 시간 이후 추가 주차 부담 <end>
651,<sos> 야경 라이브 음악 분위기 깡패 호텔 가격 동 세트 고급 양 안주 맛 있음 치즈 과일 견과 무료 시간 이후 추가 주차 부담 <end>
652,<sos> 호텔 내 레스토랑 성비 생각 안됨 <end>
653,<sos> 호텔 내 레스토랑 성비 생각 안됨 <end>
654,<sos> 호텔 내 레스토랑 성비 생각 안됨 <end>
655,<sos> 고급 디저트 카페 밀크 홍차 주문 밀크 서울 프랑스 느낌 버터 스카치 밀크 주문 친구 해외 직구 난리 사장님 차 디저트 류 지식 풍부 음료 디저트 도움 요청 <end>
656,<sos> 고급 디저트 카페 밀크 홍차 주문 밀크 서울 프랑스 느낌 버터 스카치 밀크 주문 친구 해외 직구 난리 사장님 차 디저트 류 지식 풍부 음료 디저트 도움 요청 <end>
657,<sos> 고급 디저트 카페 밀크 홍차 주문 밀크 서울 프랑스 느낌 버터 스카치 밀크 주문 친구 해외 직구 난리 사장님 차 디저트 류 지식 풍부 음료 디저트 도움 요청 <end>
658,<sos> 벚꽃 나무 벚꽃 구경 명소 사진 사람 줄 이층 테라스 벚꽃 나무 높이 벚꽃 나무 옆 사진 평일 오픈 주말 오픈 벚꽃 시즌 한정 현상 걱정 벚꽃 나무 음료 분위기 카페 내부 그레이 톤 감성 처 메뉴 애플 애플 이드 은은 애플 향 <end>
659,<sos> 벚꽃 나무 벚꽃 구경 명소 사진 사람 줄 이층 테라스 벚꽃 나무 높이 벚꽃 나무 옆 사진 평일 오픈 주말 오픈 벚꽃 시즌 한정 현상 걱정 벚꽃 나무 음료 분위기 카페 내부 그레이 톤 감성 처 메뉴 애플 애플 이드 은은 애플 향 <end>
660,<sos> 벚꽃 나무 벚꽃 구경 명소 사진 사람 줄 이층 테라스 벚꽃 나무 높이 벚꽃 나무 옆 사진 평일 오픈 주말 오픈 벚꽃 시즌 한정 현상 걱정 벚꽃 나무 음료 분위기 카페 내부 그레이 톤 감성 처 메뉴 애플 애플 이드 은은 애플 향 <end>
661,<sos> 테이크 아웃 아이스 메이 카 노 맛 깔끔 내부 <end>
662,<sos> 테이크 아웃 아이스 메이 카 노 맛 깔끔 내부 <end>
663,<sos> 테이크 아웃 아이스 메이 카 노 맛 깔끔 내부 <end>
664,<sos> 샌드위치 노 양심 샌드위치 전문 카페 맛 내용 실함 카운터 분 사람 역력 진심 <end>
665,<sos> 샌드위치 노 양심 샌드위치 전문 카페 맛 내용 실함 카운터 분 사람 역력 진심 <end>
666,<sos> 샌드위치 노 양심 샌드위치 전문 카페 맛 내용 실함 카운터 분 사람 역력 진심 <end>
667,<sos> 카페 분위기 평일 웨이팅 기 카페 <end>
668,<sos> 카페 분위기 평일 웨이팅 기 카페 <end>
669,<sos> 카페 분위기 평일 웨이팅 기 카페 <end>
670,<sos> 공간 커피 향 베이커리 향 곳 아메리카 노도 성비 짱 사실 망고 쥬스 베스트 초이스 <end>
671,<sos> 공간 커피 향 베이커리 향 곳 아메리카 노도 성비 짱 사실 망고 쥬스 베스트 초이스 <end>
672,<sos> 공간 커피 향 베이커리 향 곳 아메리카 노도 성비 짱 사실 망고 쥬스 베스트 초이스 <end>
673,<sos> 점심 식사 방문 고개 위치 접근 조용 인근 직장인 생각 점심 세트 메뉴 메뉴 로 선택 구성 매니저 분 신지 무심 친절 하심 <end>
674,<sos> 점심 식사 방문 고개 위치 접근 조용 인근 직장인 생각 점심 세트 메뉴 메뉴 로 선택 구성 매니저 분 신지 무심 친절 하심 <end>
675,<sos> 점심 식사 방문 고개 위치 접근 조용 인근 직장인 생각 점심 세트 메뉴 메뉴 로 선택 구성 매니저 분 신지 무심 친절 하심 <end>
676,<sos> 루프 탑 남산 뷰 열일 카페 공간 불편 <end>
677,<sos> 루프 탑 남산 뷰 열일 카페 공간 불편 <end>
678,<sos> 루프 탑 남산 뷰 열일 카페 공간 불편 <end>
679,<sos> 얼마 안 전반적 깔끔 분위기 커피 인 주문 시 리필 가능 <end>
680,<sos> 얼마 안 전반적 깔끔 분위기 커피 인 주문 시 리필 가능 <end>
681,<sos> 얼마 안 전반적 깔끔 분위기 커피 인 주문 시 리필 가능 <end>
682,<sos> 마포 역 상권 곳 건물 지하 위치 매장 자체 사람 카페 핸드 드립 커피 다양 원두 선택 핸드 드립 기준 가격 적당 수준 정성 모습 인상적 물 온도 커피 진해 만족 곳 주문 밀크 사장님 구 을 매장 여기저기 서빙 잔 적갈색 베이스 디 인테리어 센스 곳 <end>
683,<sos> 마포 역 상권 곳 건물 지하 위치 매장 자체 사람 카페 핸드 드립 커피 다양 원두 선택 핸드 드립 기준 가격 적당 수준 정성 모습 인상적 물 온도 커피 진해 만족 곳 주문 밀크 사장님 구 을 매장 여기저기 서빙 잔 적갈색 베이스 디 인테리어 센스 곳 <end>
684,<sos> 마포 역 상권 곳 건물 지하 위치 매장 자체 사람 카페 핸드 드립 커피 다양 원두 선택 핸드 드립 기준 가격 적당 수준 정성 모습 인상적 물 온도 커피 진해 만족 곳 주문 밀크 사장님 구 을 매장 여기저기 서빙 잔 적갈색 베이스 디 인테리어 센스 곳 <end>
685,<sos> 커피 맛 취향 아주 진 커피 커피 라 떼 산미 맛 내부 협소 테이블 거리 대부분 공릉동 카페 커피 마 시기 분위기 임 베이커리 판매 약간 아메리칸 스타일 <end>
686,<sos> 커피 맛 취향 아주 진 커피 커피 라 떼 산미 맛 내부 협소 테이블 거리 대부분 공릉동 카페 커피 마 시기 분위기 임 베이커리 판매 약간 아메리칸 스타일 <end>
687,<sos> 커피 맛 취향 아주 진 커피 커피 라 떼 산미 맛 내부 협소 테이블 거리 대부분 공릉동 카페 커피 마 시기 분위기 임 베이커리 판매 약간 아메리칸 스타일 <end>
688,<sos> 와인 커피 식당 크기 단체 소파 석도 바 도 일반 테이블 다채 커피 특색 맛 절 사람 분 양해 자리 감사 다음 와인 <end>
689,<sos> 와인 커피 식당 크기 단체 소파 석도 바 도 일반 테이블 다채 커피 특색 맛 절 사람 분 양해 자리 감사 다음 와인 <end>
690,<sos> 와인 커피 식당 크기 단체 소파 석도 바 도 일반 테이블 다채 커피 특색 맛 절 사람 분 양해 자리 감사 다음 와인 <end>
691,<sos> 양이 맛 야채 신선 <end>
692,<sos> 양이 맛 야채 신선 <end>
693,<sos> 양이 맛 야채 신선 <end>
694,<sos> 유명 성비 이대 대학생 사랑 성신 홍 대점 확장 곳 다양 과일 시리얼 토핑 토핑 세트 종류 여종 이상 완전 플레인 옵션 가능 꿀 만족 양 대비 가격 부담 요거트 끼 식사 값 식사 값 밥 대신 부족 주머니 사정 매장 직원 친절 분위기 홍익 대학교 입구 지하철 역 정도 거리 <end>
695,<sos> 유명 성비 이대 대학생 사랑 성신 홍 대점 확장 곳 다양 과일 시리얼 토핑 토핑 세트 종류 여종 이상 완전 플레인 옵션 가능 꿀 만족 양 대비 가격 부담 요거트 끼 식사 값 식사 값 밥 대신 부족 주머니 사정 매장 직원 친절 분위기 홍익 대학교 입구 지하철 역 정도 거리 <end>
696,<sos> 유명 성비 이대 대학생 사랑 성신 홍 대점 확장 곳 다양 과일 시리얼 토핑 토핑 세트 종류 여종 이상 완전 플레인 옵션 가능 꿀 만족 양 대비 가격 부담 요거트 끼 식사 값 식사 값 밥 대신 부족 주머니 사정 매장 직원 친절 분위기 홍익 대학교 입구 지하철 역 정도 거리 <end>
697,<sos> 요거트 하나 식사 대용 짱 <end>
698,<sos> 요거트 하나 식사 대용 짱 <end>
699,<sos> 오픈 딸기 서비스 직원 분 얼굴 위생 걱정 필요 맛 굿 처음 런던 블루 무난 <end>
